potential,current,current_filtered_50Hz,current_filtered_60Hz,basecurrent_4
-497.8125,-4.189014934183946e-08,-4.112537054111988e-08,-4.1449875103234616e-08,2.81711910682369e-08
-498.3125,-4.1159793674126507e-08,-4.092446950422694e-08,-4.085990094951237e-08,2.8191595974712482e-08
-498.8125,-4.0025715831007463e-08,-4.133861892314421e-08,-4.091053513701345e-08,2.821200954396954e-08
-499.3125,-3.8265391778793936e-08,-4.072789719554381e-08,-4.0135293375958974e-08,2.8232431754600708e-08
-499.8125,-3.8785939071886433e-08,-4.14746312137954e-08,-4.037902720494241e-08,2.8252862585206723e-08
-500.3125,-3.7000183701537095e-08,-4.066352601819889e-08,-3.971550102915593e-08,2.8273302014396428e-08
-500.8125,-3.746986835835795e-08,-4.132046487516949e-08,-4.012185393265644e-08,2.829375002078676e-08
-501.3125,-3.75803356465104e-08,-4.091346256072236e-08,-3.9863820546018714e-08,2.8314206583002753e-08
-501.8125,-3.8254265577109515e-08,-4.113747565269161e-08,-4.0279679510745496e-08,2.833467167967755e-08
-502.3125,-3.9233371325338434e-08,-4.1111685311886114e-08,-4.0467112961313524e-08,2.8355145289452395e-08
-502.8125,-4.009008885503874e-08,-4.10048443401239e-08,-4.0681200459226115e-08,2.8375627390976627e-08
-503.3125,-4.1066810417192425e-08,-4.120295167818489e-08,-4.123421403558999e-08,2.839611796290769e-08
-503.8125,-4.204750562280484e-08,-4.077709970563893e-08,-4.1210447571158283e-08,2.841661698391112e-08
-504.3125,-4.372120424761824e-08,-4.1398874153780994e-08,-4.198174697404119e-08,2.8437124432660573e-08
-504.8125,-4.3467685794951814e-08,-4.065819173934547e-08,-4.174829621535945e-08,2.8457640287837783e-08
-505.3125,-4.522642038978184e-08,-4.145346378291658e-08,-4.2416965920318186e-08,2.84781645281326e-08
-505.8125,-4.4517522396745966e-08,-4.0807447885014404e-08,-4.200105608732495e-08,2.849869713224297e-08
-506.3125,-4.449209107861015e-08,-4.122486653241228e-08,-4.229741039736194e-08,2.851923807887494e-08
-506.8125,-4.4029558980015e-08,-4.0979399807973456e-08,-4.18356413874838e-08,2.8539787346742652e-08
-507.3125,-4.30059484250484e-08,-4.1064474817435785e-08,-4.174110714268632e-08,2.8560344914568363e-08
-507.8125,-4.191558065997529e-08,-4.1091420019737934e-08,-4.1360828130267374e-08,2.858091076108241e-08
-508.3125,-4.1159793674126507e-08,-4.10266294749096e-08,-4.102592229422316e-08,2.8601484865023253e-08
-508.8125,-4.0021742187548735e-08,-4.122892676468016e-08,-4.072644497001573e-08,2.8622067205137438e-08
-509.3125,-3.84998367428585e-08,-4.0960643508744976e-08,-4.038044518781032e-08,2.864265776017962e-08
-509.8125,-3.836711705133722e-08,-4.116939655316206e-08,-4.011813525721497e-08,2.866325650891254e-08
-510.3125,-3.743331083853772e-08,-4.1086644958951875e-08,-4.002774471183448e-08,2.8683863430107058e-08
-510.8125,-3.7014488817988485e-08,-4.088456074818116e-08,-3.9838126500531855e-08,2.870447850254213e-08
-511.3125,-3.804684138856428e-08,-4.135167061361295e-08,-4.016453431282685e-08,2.872510170500481e-08
