potential,current,current_filtered_50Hz,basecurrent_4
-141.5,-3.219525403125134e-08,-3.010613967140377e-08,1.725315425570036e-08
-142.0,-3.1948093408118886e-08,-2.998117106154286e-08,1.7227487152371317e-08
-142.5,-3.148874022429071e-08,-3.020451936309106e-08,1.720193601770388e-08
-143.0,-3.097455076073218e-08,-3.0244550960856764e-08,1.7176500751403634e-08
-143.5,-3.077427913041264e-08,-3.0255818163327624e-08,1.7151181253206084e-08
-144.0,-3.0465924398015864e-08,-3.0494843734869264e-08,1.7125977422876653e-08
-144.5,-2.9226942367586576e-08,-3.027858306114435e-08,1.7100889160210687e-08
-145.0,-2.8976602829687136e-08,-3.0679293221494295e-08,1.707591636503345e-08
-145.5,-2.8545859878761764e-08,-3.0357166676229235e-08,1.7051058937200124e-08
-146.0,-2.9059254613628536e-08,-3.0851535764913227e-08,1.702631677659582e-08
-146.5,-2.848625522688093e-08,-3.048789820268489e-08,1.7001689783135554e-08
-147.0,-2.891222980565585e-08,-3.099285897776963e-08,1.697717785676427e-08
-147.5,-2.9106938335133195e-08,-3.0658974642344784e-08,1.6952780897456837e-08
-148.0,-3.0440493079880046e-08,-3.103442723262101e-08,1.6928498805218032e-08
-148.5,-3.068368005955379e-08,-3.09238728612521e-08,1.6904331480082565e-08
-149.0,-3.106673928897452e-08,-3.099755596982741e-08,1.688027882211505e-08
-149.5,-3.218015418610822e-08,-3.1237482655673664e-08,1.6856340731410036e-08
-150.0,-3.26450704707786e-08,-3.098429207628864e-08,1.6832517108091983e-08
-150.5,-3.330549001361806e-08,-3.144258109498037e-08,1.6808807852315273e-08
-151.0,-3.289143636521932e-08,-3.108148223785352e-08,1.6785212864264207e-08
-151.5,-3.3640070792842404e-08,-3.151758861584801e-08,1.6761732044153007e-08
-152.0,-3.327687978071528e-08,-3.129815483190912e-08,1.673836529222582e-08
-152.5,-3.2819116054270594e-08,-3.1555326225155815e-08,1.6715112508756695e-08
-153.0,-3.2382810002502994e-08,-3.1571242197042214e-08,1.6691973594049626e-08
-153.5,-3.2106244417776e-08,-3.153715829245238e-08,1.6668948448438504e-08
-154.0,-3.1563444721314675e-08,-3.1827808304335944e-08,1.6646036972287157e-08
-154.5,-3.0266447496388056e-08,-3.148230980678408e-08,1.6623239065989322e-08
-155.0,-3.0457182382406674e-08,-3.2046590879987946e-08,1.660055462996866e-08
-155.5,-2.9769742064047902e-08,-3.160950051566674e-08,1.657798356467875e-08
-156.0,-3.0394398815758885e-08,-3.2151675436772044e-08,1.655552577060309e-08
-156.5,-3.004392346269967e-08,-3.1946448421515984e-08,1.6533181148255103e-08
-157.0,-3.009875974243002e-08,-3.205990768347442e-08,1.6510949598178127e-08
-157.5,-3.072262176544926e-08,-3.226185336646008e-08,1.648883102094542e-08
-158.0,-3.1079454948042416e-08,-3.1979909321224924e-08,1.6466825317160163e-08
-158.5,-3.218015418610822e-08,-3.24093096546795e-08,1.6444932387455453e-08
-159.0,-3.21960487599431e-08,-3.223443662322324e-08,1.6423152132494313e-08
-159.5,-3.3290390168474934e-08,-3.2392929310651734e-08,1.6401484452969673e-08
-160.0,-3.4532551113671194e-08,-3.264998039162733e-08,1.63799292496044e-08
-160.5,-3.429810614960663e-08,-3.236943311329395e-08,1.6358486423151266e-08
-161.0,-3.479799049671377e-08,-3.2754745556355485e-08,1.633715587439297e-08
-161.5,-3.4383142119623277e-08,-3.257424173700618e-08,1.631593750414213e-08
-162.0,-3.444433622888759e-08,-3.2663346012486785e-08,1.6294831213241286e-08
-162.5,-3.4565929718724456e-08,-3.285815110421738e-08,1.627383690256289e-08
-163.0,-3.3523245675155997e-08,-3.2862220354259854e-08,1.6252954473009322e-08
-163.5,-3.319343326808213e-08,-3.282074089721338e-08,1.6232183825512876e-08
-164.0,-3.31910490820069e-08,-3.3264755548802856e-08,1.6211524861035772e-08
-164.5,-3.1479998208681536e-08,-3.2668327790099985e-08,1.6190977480570143e-08
-165.0,-3.203312937813553e-08,-3.3458576629107714e-08,1.617054158513805e-08
-165.5,-3.097375603204044e-08,-3.2841420230465844e-08,1.615021707579146e-08
-166.0,-3.132423138509965e-08,-3.345165527409269e-08,1.6130003853612276e-08
-166.5,-3.138304130828873e-08,-3.317159358979892e-08,1.6109901819712315e-08
-167.0,-3.164530177656433e-08,-3.344358591079595e-08,1.6089910875233306e-08
-167.5,-3.1703316971061657e-08,-3.3350341478299405e-08,1.6070030921346904e-08
-168.0,-3.2615665509184064e-08,-3.348019583153374e-08,1.6050261859254688e-08
-168.5,-3.3210122570608764e-08,-3.3489063365919523e-08,1.6030603590188155e-08
-169.0,-3.365040226583508e-08,-3.358358847492561e-08,1.6011056015408712e-08
-169.5,-3.466844971995946e-08,-3.36497054876087e-08,1.5991619036207697e-08
-170.0,-3.5502120117599183e-08,-3.3701404630859665e-08,1.5972292553906363e-08
-170.5,-3.5476688799463366e-08,-3.372678449013254e-08,1.595307646985588e-08
-171.0,-3.5560930040788264e-08,-3.379979991411283e-08,1.593397068543735e-08
-171.5,-3.591140539384748e-08,-3.379500783810041e-08,1.5914975102061782e-08
-172.0,-3.5913789579922704e-08,-3.3945801280388053e-08,1.589608962117011e-08
-172.5,-3.534555856532557e-08,-3.3908965034484625e-08,1.5877314144233185e-08
-173.0,-3.5129392361171125e-08,-3.411764337968325e-08,1.585864857275178e-08
-173.5,-3.434817405718653e-08,-3.393632148413454e-08,1.584009280825659e-08
-174.0,-3.383636877970323e-08,-3.429257330579069e-08,1.5821646752308224e-08
-174.5,-3.289143636521932e-08,-3.384634334960635e-08,1.5803310306497216e-08
-175.0,-3.3022566599357117e-08,-3.4501654704014745e-08,1.5785083372444015e-08
-175.5,-3.1856699608568296e-08,-3.386143594930543e-08,1.5766965851799e-08
-176.0,-3.283739481418069e-08,-3.4603644717714147e-08,1.5748957646242454e-08
-176.5,-3.2137238836754025e-08,-3.410300033561281e-08,1.573105865748459e-08
-177.0,-3.2416188607556256e-08,-3.448373488378098e-08,1.5713268787265547e-08
-177.5,-3.298521435084513e-08,-3.4389067262265226e-08,1.5695587937355367e-08
-178.0,-3.355424009413402e-08,-3.433484961416712e-08,1.5678016009554024e-08
-178.5,-3.4193996690988144e-08,-3.4578073582999014e-08,1.5660552905691405e-08
-179.0,-3.4410162895142586e-08,-3.434143267341545e-08,1.5643198527627325e-08
-179.5,-3.564517128211315e-08,-3.473289816058838e-08,1.562595277725151e-08
-180.0,-3.609896136509912e-08,-3.440755618567531e-08,1.560881555648361e-08
-180.5,-3.6856337808331384e-08,-3.487646642195024e-08,1.55917867672732e-08
-181.0,-3.642003175656379e-08,-3.440077494510873e-08,1.5574866311599766e-08
-181.5,-3.693422122012232e-08,-3.493710951056805e-08,1.5558054091472713e-08
-182.0,-3.6223733769702973e-08,-3.448903287578053e-08,1.554135000893138e-08
-182.4375,-3.637473222113437e-08,-3.485204317262761e-08,1.5524753966045003e-08
-182.9375,-3.565947639856453e-08,-3.481643844221666e-08,1.5508265864912758e-08
-183.4375,-3.501813034432693e-08,-3.4658500583403934e-08,1.5491885607663736e-08
-183.9375,-3.504912476330496e-08,-3.5108193561501963e-08,1.547561309645694e-08
-184.4375,-3.3381783968025523e-08,-3.4583937962785284e-08,1.5459448233481297e-08
