potential,current,current_filtered_50Hz,basecurrent_3
-160.1875,-2.660592714221404e-08,-2.7244414400055767e-08,-4.4183434587349294e-10
-160.6875,-2.608458512042981e-08,-2.6713815849209723e-08,-4.151785607505415e-10
-161.1875,-2.6121937368941787e-08,-2.700609348547311e-08,-3.885305067441891e-10
-161.6875,-2.6675863267087527e-08,-2.6726015155988594e-08,-3.6189018660843965e-10
-162.1875,-2.6423139543112863e-08,-2.695235126819786e-08,-3.3525760309729674e-10
-162.6875,-2.5122963403419265e-08,-2.6448493644492915e-08,-3.0863275896476474e-10
-163.1875,-2.65280437304231e-08,-2.6997520743564313e-08,-2.820156569648472e-10
-163.6875,-2.6713215515599515e-08,-2.6371084985840156e-08,-2.5540629985154766e-10
-164.1875,-2.74960232769676e-08,-2.6893292854585895e-08,-2.288046903788701e-10
-164.6875,-2.704541210874861e-08,-2.6432716684403797e-08,-2.0221083130081849e-10
-165.1875,-2.7262373041594786e-08,-2.671736361432495e-08,-1.7562472537139594e-10
-165.6875,-2.7484897075283175e-08,-2.632832003974431e-08,-1.4904637534460727e-10
-166.1875,-2.8462413366128605e-08,-2.668524030573363e-08,-1.224757839744556e-10
-166.6875,-2.7651790100549472e-08,-2.6145180213192056e-08,-9.591295401494573e-11
-167.1875,-2.7164621412510247e-08,-2.6666936172682035e-08,-6.935788822007955e-11
-167.6875,-2.584934542767351e-08,-2.6120550131655908e-08,-4.281058934386268e-11
-168.1875,-2.658288001015345e-08,-2.668245548133707e-08,-1.627106014029785e-11
-168.6875,-2.5905771164787352e-08,-2.6178465713551176e-08,1.0260696636610155e-11
-169.1875,-2.553940123789325e-08,-2.6888419872481407e-08,3.678467823285819e-11
-169.6875,-2.4715267584554463e-08,-2.608110798616272e-08,6.330088189444272e-11
-170.1875,-2.6079022019587596e-08,-2.7037266494596684e-08,8.980930486735893e-11
-170.6875,-2.4816992857097727e-08,-2.6092216411741322e-08,1.1630994439760535e-10
-171.1875,-2.643267628741379e-08,-2.700076573934264e-08,1.4280279773117513e-10
-171.6875,-2.6256246517846562e-08,-2.641068814212886e-08,1.6928786211406553e-10
-172.1875,-2.6698115670456368e-08,-2.716992199353506e-08,1.9576513479227383e-10
-172.6875,-2.711932187708082e-08,-2.6480425629349122e-08,2.2223461301179483e-10
-173.1875,-2.8018954756135313e-08,-2.7483053801988796e-08,2.486962940186258e-10
-173.6875,-2.5536222323126277e-08,-2.62354233643639e-08,2.7515017505876237e-10
-174.1875,-2.7591390719976907e-08,-2.746545535545305e-08,3.01596253378201e-10
-174.6875,-2.6948455208355808e-08,-2.6458229508094895e-08,3.2803452622293727e-10
-175.1875,-2.7636690255406333e-08,-2.729156111398327e-08,3.5446499083896766e-10
-175.6875,-2.8141342974663925e-08,-2.6892498736431885e-08,3.808876444722886e-10
